Card Name,Decks avec carte,Decks totaux analysés,% apparition dans les decks,Quantité totale,Présente comme commander dans X decks,Nombre de commanders concernés
"Anara, Wolvid Familiar",6,25208,0.02%,6,0,4
Anarchist,1,25208,0.00%,1,0,1
Anarchy,3,25208,0.01%,3,0,1
Anathemancer,1,25208,0.00%,1,0,1
Anax and Cymede,2,25208,0.01%,2,0,2
"Anax, Hardened in the Forge",7,25208,0.03%,7,0,3
Ancestor Dragon,3,25208,0.01%,3,0,2
Ancestor's Chosen,27,25208,0.11%,27,0,2
Ancestor's Prophet,151,25208,0.60%,151,0,2
Ancestors'Aid,2,25208,0.01%,2,0,1
Ancestral Anger,4,25208,0.02%,4,0,3
Ancestral Blade,5,25208,0.02%,5,0,3
Ancestral Hot Dog Minotaur,18,25208,0.07%,18,0,2
Ancestral Katana,6,25208,0.02%,6,0,1
Ancestral Knowledge,1,25208,0.00%,1,0,1
Ancestral Mask,11,25208,0.04%,11,0,3
Ancestral Memories,1,25208,0.00%,1,0,1
Ancestral Recall,1,25208,0.00%,1,0,1
Ancestral Reminiscence,10,25208,0.04%,10,0,3
Ancestral Vengeance,1,25208,0.00%,1,0,1
Ancestral Vision,21,25208,0.08%,21,0,4
Anchor to Reality,6,25208,0.02%,6,0,4
Anchor to the Aether,2,25208,0.01%,2,0,1
Ancient Amphitheater,9,25208,0.04%,9,0,2
Ancient Animus,22,25208,0.09%,22,0,4
Ancient Brass Dragon,54,25208,0.21%,54,0,5
Ancient Brontodon,1,25208,0.00%,1,0,1
Ancient Bronze Dragon,46,25208,0.18%,46,0,6
Ancient Carp,8,25208,0.03%,8,0,1
Ancient Cellarspawn,418,25208,1.66%,418,0,2
Ancient Copper Dragon,42,25208,0.17%,42,0,3
Ancient Cornucopia,8,25208,0.03%,8,0,3
Ancient Crab,4,25208,0.02%,4,0,3
Ancient Craving,76,25208,0.30%,76,0,5
Ancient Den,47,25208,0.19%,47,0,6
Ancient Excavation,16,25208,0.06%,16,0,2
Ancient Gold Dragon,42,25208,0.17%,42,0,4
Ancient Greenwarden,922,25208,3.66%,922,0,5
Ancient Grudge,2,25208,0.01%,2,0,1
Ancient Hellkite,1,25208,0.00%,1,0,1
Ancient Imperiosaur,23,25208,0.09%,23,0,5
Ancient Lumberknot,1,25208,0.00%,1,0,1
Ancient Ooze,2,25208,0.01%,2,0,1
Ancient Runes,4,25208,0.02%,4,0,3
Ancient Silver Dragon,74,25208,0.29%,74,0,5
Ancient Stirrings,6,25208,0.02%,6,0,2
Ancient Stone Idol,13,25208,0.05%,13,0,4
Ancient Tomb,2535,25208,10.06%,2535,0,12
Ancient Ziggurat,67,25208,0.27%,67,0,11
And They Shall Know No Fear,364,25208,1.44%,364,0,5
"Andúril, Flame of the West",107,25208,0.42%,107,0,6
"Andúril, Narsil Reforged",246,25208,0.98%,246,0,8
"Anep, Vizier of Hazoret",1,25208,0.00%,1,0,1
Angel of Condemnation,11,25208,0.04%,11,0,4
