name,final_score,mana_value,mana_cost,type_line,edhrec_rank,roles,decklist_popularity,strategic_role,commander_synergy,vector_similarity,edhrec,mana_curve,card_quality,reasons,section
Cultivate,0.7759,3.0,{2}{G},Sorcery,20,ramp|tutor,0.8494,0.75,0.522,0.8113,1.0,1.0,1.0,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Tuteur (chercher les creatures) | Très bien classé EDHREC (rank 20) | Mana value cohérente (3.0),add
An Offer You Can't Refuse,0.7715,1.0,{U},Instant,35,ramp|token_generation|counterspell,0.738,1.0,0.39,0.7822,1.0,0.75,0.9559,"Rôles utiles pour la stratégie : token_generation, ramp, counterspell | Bonne présence dans les decklists similaires | Cree des tokens sacrifiables | Très bien classé EDHREC (rank 35)",add
Mystic Remora,0.771,1.0,{U},Enchantment,96,card_draw|enchantment_synergy,0.6678,0.75,0.79,0.7848,1.0,0.75,0.9173,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 96),add
Eternal Witness,0.7648,3.0,{1}{G}{G},Creature — Human Shaman,105,etb_synergy|tribal_synergy|graveyard_synergy|recursion,0.8357,1.0,0.31,0.7467,0.85,1.0,0.8428,"Rôles utiles pour la stratégie : recursion, graveyard_synergy | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 105) | Mana value cohérente (3.0)",add
Rhystic Study,0.7625,3.0,{2}{U},Enchantment,41,card_draw|enchantment_synergy,0.7322,0.75,0.63,0.7795,1.0,1.0,0.9527,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 41) | Mana value cohérente (3.0),add
Foreboding Landscape,0.7613,0,,Land,1651,ramp|card_draw|tutor,0.5352,1.0,0.79,0.793,0.65,0.75,0.6518,"Rôles utiles pour la stratégie : ramp, card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 1651)",add
Faerie Mastermind,0.7576,2.0,{1}{U},Creature — Faerie Rogue,333,card_draw,0.6688,0.75,0.75,0.8079,0.85,1.0,0.8353,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 333) | Mana value cohérente (2.0),add
Misty Rainforest,0.7569,0,,Land,40,ramp|tutor,0.8199,0.75,0.522,0.7834,1.0,0.75,1.0,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Tuteur (chercher les creatures) | Très bien classé EDHREC (rank 40),add
Psychosis Crawler,0.7558,5.0,{5},Artifact Creature — Phyrexian Horror,449,card_draw|artifact_synergy,0.6148,0.75,0.87,0.7701,0.85,0.8,0.8056,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Pioche (alimente la main en creatures) | Source de pioche | Très bien classé EDHREC (rank 449) | Mana value cohérente (5.0),add
Polluted Delta,0.7552,0,,Land,37,ramp|tutor,0.809,0.75,0.522,0.7911,1.0,0.75,0.995,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Tuteur (chercher les creatures) | Très bien classé EDHREC (rank 37),add
